gene,slope_z,r,p,n_cells_expr,biotype
Zpbp2,-0.0023991029618697,-0.003522119503519,0.9122253854648124,982,protein-coding
Ormdl3,0.0149147830465916,0.0147849881261195,0.0158785864132903,26607,protein-coding
Gsdma3,-0.0707724883788842,-0.1325298859198393,0.6813705203710092,12,protein-coding
Gsdma,0.0575786773352421,0.0833521936858196,0.0002086044742669,1975,protein-coding
Psmd3,0.0099573754591259,0.0104242973451873,0.0173141181349026,52125,protein-coding
Csf3,0.0461662578396103,0.0517977046104594,0.0105761869044862,2435,protein-coding
Med24,0.0274040474894214,0.031715192388854,0.0005127357263182,11995,protein-coding
Thra,0.085292003095,0.0751141992712587,8.29230517650616e-20,14668,protein-coding
Nr1d1,0.0345369425313876,0.030605558918638,3.756133095827687e-05,18133,protein-coding
Msl1,0.0093153613748868,0.0096661179388663,0.0732762964105386,34336,protein-coding
Casc3,0.0107286674413171,0.0108719833962312,0.1232297518021798,20101,protein-coding
Rapgefl1,0.0351851550935519,0.0411974790319937,0.0003231578856853,7615,protein-coding
Wipf2,0.0130002859831698,0.0116167821518947,0.108864610347016,19050,protein-coding
Cdc6,0.0897395323385599,0.1109772821356778,6.118765287597537e-22,7482,protein-coding
Rara,-0.0335254568834297,-0.0350245625617228,9.071577238703193e-09,26912,protein-coding
Top2a,-0.0036210855062968,-0.0073087573372272,0.3250763214330181,18131,protein-coding
Igfbp4,0.0414910225276431,0.0422776904424521,3.775042688097773e-20,47255,protein-coding
Tns4,0.1214562544426254,0.0859825081664417,1.5521778460731812e-19,11018,protein-coding
Ccr7,-0.0137290605419478,-0.0206726599784828,0.0117920823751273,14839,protein-coding
Smarce1,-0.0014552049070193,-0.0015140020633199,0.7254642170664958,53801,protein-coding
Krt222,0.0061447516186475,0.005281795926173,0.82131321642256,1831,protein-coding
Krt24,0.0112680852954271,0.019681862845057,0.1763418978368974,4721,protein-coding
Krt25,0.0330955627747526,0.0412926211151052,0.6382804186884052,132,protein-coding
Krt27,0.0152157027218334,0.0255074522140291,0.7857813975057608,116,protein-coding
Krt28,0.0285942238652329,0.0777770992876013,0.5042482878728488,76,protein-coding
Krt10,-0.0523830053760626,-0.0628385485758475,1.0218876493768656e-19,20871,protein-coding
Krt12,0.3135437666430578,0.0864140809455804,0.1672313367684971,257,protein-coding
Krt20,1.485479438842604,0.4495072591629884,5.066742568326881e-88,1755,protein-coding
Krt23,0.0214638431357252,0.0303008463519757,0.0172230137188309,6179,protein-coding
Krt39,-0.0369357497017748,-0.1922310899277503,0.1057241792005241,72,protein-coding
Krtap3-3,0.001376481785211,0.002802355552156,0.871388160945617,3340,protein-coding
