gene,slope_z,r,p,n_cells_expr
1700013F07Rik,-0.022281799690700304,-0.030167340471183184,0.8042041346473311,70
Tmem167b,0.02457796175690028,0.024598533611459007,0.00031143889798388694,21481
Taf13,0.011866273857216298,0.012950508727857565,0.015544475914910845,34902
Wdr47,0.06103152696750771,0.06130152553652193,1.5052267434044772e-06,6149
Clcc1,0.038067772147351575,0.039242603134562626,1.4719287075348704e-09,23732
Gpsm2,-0.01059275625389235,-0.012543638818465076,0.13568865037300584,14150
Aknad1,-0.0181489876203289,-0.035586822932329655,0.030937691769219202,3677
Stxbp3a,0.030017471577624057,0.0276788226053726,9.879070379456367e-06,25491
Fndc7,0.01292878773447269,0.01175080936904083,0.7631690322615043,660
Prpf38b,0.005274644417413879,0.0054529715067928135,0.2102485891258703,52792
4921515J06Rik,0.029300443952124024,0.047057076372593244,0.5674406809939161,150
Fam102b,0.008661203334400592,0.007872333793039362,0.3039374197569121,17055
Slc25a24,0.08564059430577192,0.07145562472634022,4.134459895731179e-22,18261
Vav3,0.037308861721074345,0.044599160541357825,2.7246027669185572e-08,15519
Ntng1,0.019783829578382695,0.024698013219935477,0.5117531767343682,708
Prmt6,0.030208000655828886,0.03382570755072873,0.0011850051389558477,9186
Amy2b,-0.013341712248152298,-0.01458843221466887,0.5708336991864592,1512
Amy1,-0.05822935178097642,-0.046316419413818796,0.0012798081111712275,4832
Rnpc3,0.037551273523034855,0.04038899533298774,2.9482562836383318e-06,13386
Col11a1,0.015730979446620323,0.016265185726664834,0.447722111473973,2181
Olfm3,-0.01797346631662904,-0.020547578649454657,0.49758315584233315,1092
S1pr1,0.10426008601861135,0.09032781834679739,7.125949132271675e-50,26914
A930005H10Rik,-0.005705777706162107,-0.006228445212949904,0.4016051473742389,18137
Dph5,0.01638574626559214,0.02110646319717167,0.02588017391006263,11143
Slc30a7,0.03961393360649042,0.04167819471243002,2.730383179017113e-08,17770
Extl2,0.04374631656351847,0.04262150698703665,0.00019699080521384807,7625
Vcam1,0.08597236996021163,0.07435589301131011,4.210565853618112e-18,13570
