tissue,cell_type,go_term,NES,FDR
Bladder,bladder cell,Positive Regulation Of Response To Stimulus (GO:0048584),-1.2487438709289111,1.0
Bladder,bladder cell,Outflow Tract Septum Morphogenesis (GO:0003148),-1.2475289361496744,1.0
Bladder,bladder cell,Protein Complex Oligomerization (GO:0051259),-1.2465982658106942,1.0
Bladder,bladder cell,Positive Regulation Of Immune Response (GO:0050778),-1.2445953995229864,1.0
Bladder,bladder cell,Peptidyl-Serine Phosphorylation (GO:0018105),-1.2434229085811404,1.0
Bladder,bladder cell,Protein N-linked Glycosylation (GO:0006487),1.243422270322852,0.9878251748475892
Bladder,bladder cell,Phospholipid Transport (GO:0015914),-1.2431546401281444,1.0
Bladder,bladder cell,Positive Regulation Of Signaling Receptor Activity (GO:2000273),1.2428695830750267,0.970069737370694
Bladder,bladder cell,Cellular Response To Nutrient Levels (GO:0031669),-1.2424644440181507,1.0
Bladder,bladder cell,Secondary Alcohol Metabolic Process (GO:1902652),-1.2410194782420063,1.0
Bladder,bladder cell,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),1.240716821467022,0.9615794344251712
Bladder,bladder cell,Positive Regulation Of Peptidase Activity (GO:0010952),1.2404481047317557,0.9433498418198252
Bladder,bladder cell,Negative Regulation Of Developmental Process (GO:0051093),-1.2390524969848091,1.0
Bladder,bladder cell,Cellular Response To Light Stimulus (GO:0071482),-1.237537672367947,1.0
Bladder,bladder cell,Phosphatidylcholine Metabolic Process (GO:0046470),-1.2371705305933105,1.0
Bladder,bladder cell,Protein Homooligomerization (GO:0051260),-1.237160110758406,1.0
Bladder,bladder cell,Positive Regulation Of DNA Metabolic Process (GO:0051054),-1.2370190928974258,1.0
Bladder,bladder cell,Regulation Of Macroautophagy (GO:0016241),-1.236830486795482,1.0
Bladder,bladder cell,Positive Regulation Of Amide Metabolic Process (GO:0034250),-1.2345168736676502,1.0
Bladder,bladder cell,Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000134),-1.2344603784729118,1.0
Bladder,bladder cell,Endosome To Lysosome Transport (GO:0008333),-1.2342997901125146,1.0
Bladder,bladder cell,Metaphase Plate Congression (GO:0051310),-1.231970913530508,1.0
Bladder,bladder cell,Stem Cell Differentiation (GO:0048863),-1.2312426200769488,1.0
Bladder,bladder cell,Cellular Response To Mechanical Stimulus (GO:0071260),-1.2305635392913437,1.0
Bladder,bladder cell,Cellular Response To Growth Factor Stimulus (GO:0071363),-1.2295580731069735,1.0
Bladder,bladder cell,Regulation Of Calcium Ion Transport (GO:0051924),-1.2283412121562889,1.0
Bladder,bladder cell,Negative Regulation Of Protein Localization (GO:1903828),-1.2276407433147691,1.0
Bladder,bladder cell,Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),1.2273706346593791,0.9882431957416892
Bladder,bladder cell,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),1.2268390045537916,0.9722422401905116
Bladder,bladder cell,post-Golgi Vesicle-Mediated Transport (GO:0006892),-1.226732451854769,1.0
Bladder,bladder cell,Negative Regulation Of Epithelial Cell Migration (GO:0010633),-1.2242833162499014,1.0
Bladder,bladder cell,O-glycan Processing (GO:0016266),1.2228611714097342,0.9739157267760804
Bladder,bladder cell,Regulation Of Embryonic Development (GO:0045995),1.2204896427222842,0.9676138646178568
Bladder,bladder cell,Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991),-1.2202159869797724,1.0
Bladder,bladder cell,Phosphorylation (GO:0016310),-1.2178536177331654,1.0
Bladder,bladder cell,Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),1.2170436162136884,0.9656670273083348
Bladder,bladder cell,Protein Polyubiquitination (GO:0000209),-1.2168073096564385,1.0
Bladder,bladder cell,Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),-1.216793840661302,1.0
Bladder,bladder cell,Regulation Of Cell Morphogenesis (GO:0022604),-1.215811770181563,1.0
Bladder,bladder cell,Response To Molecule Of Bacterial Origin (GO:0002237),-1.2153573753088918,1.0
Bladder,bladder cell,Establishment Of Protein Localization To Plasma Membrane (GO:0061951),-1.213625007793831,1.0
Bladder,bladder cell,Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),-1.2133831518765146,1.0
Bladder,bladder cell,Positive Regulation Of mRNA Catabolic Process (GO:0061014),1.2131698444207657,0.9667893930508328
Bladder,bladder cell,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),-1.2126809610356435,1.0
Bladder,bladder cell,Positive Regulation Of Protein Metabolic Process (GO:0051247),-1.2108955210607932,1.0
Bladder,bladder cell,Golgi To Plasma Membrane Protein Transport (GO:0043001),-1.2097462710653828,1.0
Bladder,bladder cell,Positive Regulation Of Protein Localization To Membrane (GO:1905477),-1.2091623207636173,1.0
Bladder,bladder cell,Negative Regulation Of Mitotic Cell Cycle (GO:0045930),1.2080429549419471,0.9754209548426654
Bladder,bladder cell,Negative Regulation Of Type I Interferon Production (GO:0032480),-1.2066565960554978,1.0
Bladder,bladder cell,Regulation Of Neuron Differentiation (GO:0045664),1.206594768477028,0.9650563695442124
Bladder,bladder cell,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),-1.2058071756831197,1.0
Bladder,bladder cell,Epigenetic Regulation Of Gene Expression (GO:0040029),-1.2050536200208677,1.0
Bladder,bladder cell,Potassium Ion Transmembrane Transport (GO:0071805),-1.2025461330453933,1.0
Bladder,bladder cell,Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway (GO:0043162),1.1996880544673023,0.98201610143958
Bladder,bladder cell,Erythrocyte Differentiation (GO:0030218),1.1993067835429791,0.9676138646178568
Bladder,bladder cell,Carboxylic Acid Transmembrane Transport (GO:1905039),-1.1984811671464963,1.0
Bladder,bladder cell,Regulation Of Microtubule Polymerization (GO:0031113),-1.1978722514750664,1.0
Bladder,bladder cell,Regulation Of Cellular Component Organization (GO:0051128),-1.1966486174658133,1.0
Bladder,bladder cell,Neutrophil Migration (GO:1990266),1.1961090864198152,0.96643826651322
Bladder,bladder cell,Response To Ionizing Radiation (GO:0010212),-1.1943167750208294,1.0
Bladder,bladder cell,Neuron Projection Extension (GO:1990138),1.1931469726978945,0.9646351286337704
Bladder,bladder cell,Histone Acetylation (GO:0016573),1.1890788712979496,0.9682687640186132
Bladder,bladder cell,Memory (GO:0007613),1.187929950229364,0.9585271354323592
Bladder,bladder cell,Positive Regulation Of Ossification (GO:0045778),1.1856758811699222,0.9542539168424224
Bladder,bladder cell,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),-1.1856736840642164,1.0
Bladder,bladder cell,Melanosome Organization (GO:0032438),-1.184407279710444,1.0
Bladder,bladder cell,Positive Regulation Of Endothelial Cell Migration (GO:0010595),-1.184400530386346,1.0
Bladder,bladder cell,Glucose Homeostasis (GO:0042593),1.18333189455939,0.9504227553479964
Bladder,bladder cell,Metal Ion Transport (GO:0030001),-1.1827422051344634,1.0
Bladder,bladder cell,Protein Acylation (GO:0043543),1.1819885758952622,0.94375890957985
Bladder,bladder cell,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),-1.1785630293197809,1.0
Bladder,bladder cell,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),-1.1782191103890984,1.0
Bladder,bladder cell,Extracellular Structure Organization (GO:0043062),1.1779610249789496,0.9466522683568758
Bladder,bladder cell,Sensory Perception Of Sound (GO:0007605),1.1779394725274803,0.932932670264747
Bladder,bladder cell,Maturation Of SSU-rRNA (GO:0030490),-1.1764123422015058,1.0
Bladder,bladder cell,Internal Peptidyl-Lysine Acetylation (GO:0018393),1.176387221548247,0.9263411688116042
Bladder,bladder cell,Response To Lipid (GO:0033993),-1.1750084584724652,1.0
Bladder,bladder cell,RNA Metabolic Process (GO:0016070),-1.174700761743107,1.0
Bladder,bladder cell,Protein-Containing Complex Organization (GO:0043933),-1.1714551360481031,1.0
Bladder,bladder cell,Intrinsic Apoptotic Signaling Pathway (GO:0097193),-1.1713017259927818,1.0
Bladder,bladder cell,Regulation Of Vasculature Development (GO:1901342),-1.1704218209072246,1.0
Bladder,bladder cell,Positive Regulation Of Developmental Process (GO:0051094),1.1693775607129766,0.9434287064659728
Bladder,bladder cell,Positive Regulation Of Transcription Elongation By RNA Polymerase II (GO:0032968),-1.1690989561896012,1.0
Bladder,bladder cell,Myelination (GO:0042552),-1.1689751098167909,1.0
Bladder,bladder cell,Endodermal Cell Differentiation (GO:0035987),1.167835447161221,0.9380205979461684
Bladder,bladder cell,Regulation Of Protein Secretion (GO:0050708),1.1675179565039957,0.9267454506432452
Bladder,bladder cell,Clathrin-Dependent Endocytosis (GO:0072583),1.1668762635923435,0.9168901360308788
Bladder,bladder cell,Canonical Wnt Signaling Pathway (GO:0060070),-1.1667341592868608,1.0
Bladder,bladder cell,Protein Monoubiquitination (GO:0006513),-1.1665748728536889,1.0
Bladder,bladder cell,Cellular Response To Reactive Oxygen Species (GO:0034614),1.1653409907143766,0.9125237270262126
Bladder,bladder cell,Protein Localization To Cell Periphery (GO:1990778),-1.165264212329201,1.0
Bladder,bladder cell,Organelle Assembly (GO:0070925),-1.1650203046640488,1.0
Bladder,bladder cell,T Cell Activation (GO:0042110),-1.1639787186909594,1.0
Bladder,bladder cell,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),-1.1628551535942768,1.0
Bladder,bladder cell,Protein Localization To Golgi Apparatus (GO:0034067),-1.1626857473587515,1.0
Bladder,bladder cell,Regulation Of Cell Communication (GO:0010646),-1.1608470798104182,1.0
Bladder,bladder cell,Endothelial Cell Migration (GO:0043542),1.1606571235235263,0.922076813521828
Bladder,bladder cell,Regulation Of Type II Interferon Production (GO:0032649),1.1603017893344771,0.9116709969753056
Bladder,bladder cell,Gluconeogenesis (GO:0006094),-1.15613323887469,1.0
Bladder,bladder cell,Signal Transduction In Response To DNA Damage (GO:0042770),-1.1556624621042175,1.0
Bladder,bladder cell,Endocytosis (GO:0006897),-1.1542160373190091,1.0
Bladder,bladder cell,Organelle Transport Along Microtubule (GO:0072384),-1.1538272928841395,1.0
Bladder,bladder cell,Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854),-1.1533587492263857,1.0
Bladder,bladder cell,Response To Metal Ion (GO:0010038),-1.15284282142056,1.0
Bladder,bladder cell,Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),-1.152751990165714,1.0
Bladder,bladder cell,Regulation Of Axonogenesis (GO:0050770),-1.1522776044334804,1.0
Bladder,bladder cell,Protein Destabilization (GO:0031648),-1.1518636313542097,1.0
Bladder,bladder cell,Protein-Containing Complex Disassembly (GO:0032984),-1.1513008054303886,1.0
Bladder,bladder cell,Negative Regulation Of Binding (GO:0051100),-1.1512683900119975,1.0
Bladder,bladder cell,Sensory Perception Of Mechanical Stimulus (GO:0050954),1.1509316935001228,0.9390501753694734
Bladder,bladder cell,Positive Regulation Of Cell Migration (GO:0030335),1.1508457046035931,0.9277230302325314
Bladder,bladder cell,Regulation Of Endothelial Cell Proliferation (GO:0001936),1.1493581788405545,0.9221679393266043
Bladder,bladder cell,Golgi To Plasma Membrane Transport (GO:0006893),-1.1474898395512685,1.0
Bladder,bladder cell,Synaptic Vesicle Cycle (GO:0099504),-1.145535737186273,1.0
Bladder,bladder cell,Negative Regulation Of Response To Stimulus (GO:0048585),-1.145270457234602,1.0
Bladder,bladder cell,Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),-1.144567062659703,1.0
Bladder,bladder cell,Regulation Of Stress Fiber Assembly (GO:0051492),1.1445019017208835,0.9318126973764967
Bladder,bladder cell,Monoubiquitinated Protein Deubiquitination (GO:0035520),1.143578885868738,0.9247618800476192
Bladder,bladder cell,Pyruvate Metabolic Process (GO:0006090),-1.142599344745429,1.0
