donor,age_yr,cell_type,mutations,callable_sites,burden_per_bp,burden_per_kb
TSP2,61,corneal_epithelial_cell,0,126418,0.0,0.0
TSP2,61,dendritic_cell,0,632531,0.0,0.0
TSP2,61,effector_CD4-positive_alpha-beta_T_cell,0,556360,0.0,0.0
TSP2,61,effector_CD8-positive_alpha-beta_T_cell,1,466829,2.1421119938992652e-06,0.0021421119938992653
TSP2,61,endothelial_cell,8,8477157,9.43712614972213e-07,0.000943712614972213
TSP2,61,endothelial_cell_of_artery,3,3704835,8.097526610496824e-07,0.0008097526610496824
TSP2,61,endothelial_cell_of_hepatic_sinusoid,0,50058,0.0,0.0
TSP2,61,endothelial_cell_of_vascular_tree,252,81453311,3.093796886906169e-06,0.003093796886906169
TSP2,61,epithelial_cell,0,232296,0.0,0.0
TSP2,61,erythrocyte,4,2357618,1.6966276979561574e-06,0.0016966276979561575
TSP2,61,erythroid_progenitor_cell,6,6185243,9.700508128783299e-07,0.0009700508128783298
TSP2,61,eye_photoreceptor_cell,0,106038,0.0,0.0
TSP2,61,fast_muscle_cell,2,238107,8.399585060498011e-06,0.00839958506049801
TSP2,61,fibroblast,132,81108972,1.6274401801073251e-06,0.001627440180107325
TSP2,61,granulocyte,4,3685714,1.0852714019590233e-06,0.0010852714019590234
TSP2,61,hematopoietic_stem_cell,2,5078999,3.93778380346206e-07,0.000393778380346206
TSP2,61,hepatocyte,0,183825,0.0,0.0
TSP2,61,innate_lymphoid_cell,6,11403205,5.261678624562129e-07,0.0005261678624562129
TSP2,61,intermediate_monocyte,6,12730270,4.713175761393906e-07,0.0004713175761393906
TSP2,61,keratinocyte,0,438618,0.0,0.0
TSP2,61,keratocyte,0,78646,0.0,0.0
TSP2,61,leukocyte,0,186219,0.0,0.0
TSP2,61,lung_ciliated_cell,12,15861576,7.565452512411125e-07,0.0007565452512411125
TSP2,61,lung_microvascular_endothelial_cell,4,9864678,4.054871329809245e-07,0.0004054871329809245
TSP2,61,macrophage,580,188574760,3.0757032383336985e-06,0.0030757032383336986
TSP2,61,mast_cell,6,7088628,8.46426134930483e-07,0.0008464261349304831
TSP2,61,mature_NK_T_cell,113,94520986,1.195501705832819e-06,0.0011955017058328191
TSP2,61,memory_B_cell,721,169233343,4.260389750736059e-06,0.004260389750736059
TSP2,61,mesenchymal_stem_cell,1652,198489231,8.322869667422914e-06,0.008322869667422914
TSP2,61,monocyte,648,142619974,4.5435431084849305e-06,0.004543543108484931
TSP2,61,myofibroblast_cell,60,47894412,1.2527557494598743e-06,0.0012527557494598743
TSP2,61,naive_B_cell,265,100276198,2.6427009129324986e-06,0.0026427009129324987
TSP2,61,naive_thymus-derived_CD4-positive_alpha-beta_T_cell,120,72035349,1.6658488043141152e-06,0.0016658488043141152
TSP2,61,naive_thymus-derived_CD8-positive_alpha-beta_T_cell,7,10559051,6.629383644420317e-07,0.0006629383644420317
TSP2,61,neutrophil,2,3238564,6.175576582707644e-07,0.0006175576582707644
TSP2,61,non-classical_monocyte,12,19976618,6.007022810367601e-07,0.0006007022810367601
TSP2,61,pericyte,67,44470151,1.506628569801798e-06,0.001506628569801798
TSP2,61,plasma_cell,94,79386869,1.1840749129430965e-06,0.0011840749129430966
TSP2,61,pulmonary_alveolar_type_1_cell,0,2819622,0.0,0.0
TSP2,61,pulmonary_alveolar_type_2_cell,209,127052448,1.6449899493475325e-06,0.0016449899493475326
TSP2,61,regulatory_T_cell,0,686140,0.0,0.0
TSP2,61,respiratory_goblet_cell,14,27914410,5.015330791515923e-07,0.0005015330791515924
TSP2,61,retinal_blood_vessel_endothelial_cell,0,63670,0.0,0.0
TSP2,61,skeletal_muscle_satellite_stem_cell,248,89093814,2.783582707549146e-06,0.0027835827075491457
TSP2,61,smooth_muscle_cell,2,4711023,4.2453624191603393e-07,0.0004245362419160339
TSP2,61,stromal_cell,0,47699,0.0,0.0
TSP2,61,type_I_NK_T_cell,0,453068,0.0,0.0
TSP2,61,vein_endothelial_cell,7,16739404,4.1817498400779383e-07,0.0004181749840077938
TSP3,57,B_cell,0,744598,0.0,0.0
TSP3,57,CD4-positive_alpha-beta_T_cell,0,261689,0.0,0.0
TSP3,57,CD4-positive_alpha-beta_memory_T_cell,0,205018,0.0,0.0
TSP3,57,CD8-positive_alpha-beta_T_cell,0,152619,0.0,0.0
TSP3,57,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,0,106597,0.0,0.0
TSP3,57,CD8-positive_alpha-beta_memory_T_cell,0,249399,0.0,0.0
TSP3,57,Mueller_cell,0,70133,0.0,0.0
TSP3,57,T_cell,1,555812,1.7991695033572502e-06,0.0017991695033572502
TSP3,57,basal_cell,0,479878,0.0,0.0
TSP3,57,basophil,0,57238,0.0,0.0
TSP3,57,bladder_urothelial_cell,0,288112,0.0,0.0
TSP3,57,capillary_endothelial_cell,0,258896,0.0,0.0
TSP3,57,classical_monocyte,2,660887,3.0262359525909875e-06,0.0030262359525909874
TSP3,57,club_cell,0,82201,0.0,0.0
TSP3,57,common_myeloid_progenitor,0,18476,0.0,0.0
TSP3,57,conjunctival_epithelial_cell,20,2681104,7.459613651689752e-06,0.007459613651689752
TSP3,57,corneal_epithelial_cell,0,139958,0.0,0.0
TSP3,57,dendritic_cell,0,32797,0.0,0.0
TSP3,57,effector_CD4-positive_alpha-beta_T_cell,0,303197,0.0,0.0
TSP3,57,effector_CD8-positive_alpha-beta_T_cell,0,226915,0.0,0.0
TSP3,57,endothelial_cell,1,256348,3.900947149968012e-06,0.003900947149968012
TSP3,57,endothelial_cell_of_artery,0,22477,0.0,0.0
TSP3,57,endothelial_cell_of_hepatic_sinusoid,0,32187,0.0,0.0
TSP3,57,endothelial_cell_of_vascular_tree,0,164998,0.0,0.0
TSP3,57,epithelial_cell,0,118559,0.0,0.0
TSP3,57,erythrocyte,1,579470,1.725714877387958e-06,0.001725714877387958
TSP3,57,erythroid_progenitor_cell,0,19528,0.0,0.0
TSP3,57,eye_photoreceptor_cell,0,200688,0.0,0.0
TSP3,57,fast_muscle_cell,0,9987,0.0,0.0
TSP3,57,fibroblast,0,1182466,0.0,0.0
TSP3,57,granulocyte,0,30864,0.0,0.0
TSP3,57,hematopoietic_stem_cell,0,18818,0.0,0.0
TSP3,57,hepatocyte,0,127334,0.0,0.0
TSP3,57,innate_lymphoid_cell,0,102618,0.0,0.0
TSP3,57,intermediate_monocyte,0,41632,0.0,0.0
TSP3,57,keratinocyte,0,229427,0.0,0.0
TSP3,57,keratocyte,0,107020,0.0,0.0
TSP3,57,leukocyte,0,97048,0.0,0.0
TSP3,57,lung_ciliated_cell,0,44488,0.0,0.0
TSP3,57,lung_microvascular_endothelial_cell,0,26210,0.0,0.0
TSP3,57,macrophage,2,2095020,9.546448243930846e-07,0.0009546448243930845
TSP3,57,mast_cell,0,82188,0.0,0.0
TSP3,57,mature_NK_T_cell,0,449629,0.0,0.0
TSP3,57,memory_B_cell,1,581911,1.7184758493996504e-06,0.0017184758493996503
TSP3,57,mesenchymal_stem_cell,2,1056499,1.8930448585374903e-06,0.0018930448585374902
TSP3,57,monocyte,0,658885,0.0,0.0
TSP3,57,myofibroblast_cell,0,164159,0.0,0.0
TSP3,57,naive_B_cell,1,318837,3.136398849568902e-06,0.003136398849568902
TSP3,57,naive_thymus-derived_CD4-positive_alpha-beta_T_cell,0,160297,0.0,0.0
TSP3,57,naive_thymus-derived_CD8-positive_alpha-beta_T_cell,0,32804,0.0,0.0
TSP3,57,neutrophil,1,1102067,9.073858485917825e-07,0.0009073858485917825
TSP3,57,non-classical_monocyte,0,51629,0.0,0.0
TSP3,57,pericyte,0,136117,0.0,0.0
TSP3,57,plasma_cell,0,465154,0.0,0.0
TSP3,57,pulmonary_alveolar_type_1_cell,0,17086,0.0,0.0
TSP3,57,pulmonary_alveolar_type_2_cell,1,572355,1.7471674048448951e-06,0.0017471674048448952
TSP3,57,regulatory_T_cell,0,40829,0.0,0.0
TSP3,57,respiratory_goblet_cell,0,47681,0.0,0.0
TSP3,57,retinal_blood_vessel_endothelial_cell,0,41367,0.0,0.0
TSP3,57,skeletal_muscle_satellite_stem_cell,0,296347,0.0,0.0
TSP3,57,smooth_muscle_cell,0,28808,0.0,0.0
TSP3,57,stromal_cell,0,37162,0.0,0.0
TSP3,57,type_I_NK_T_cell,1,266629,3.750529762328929e-06,0.003750529762328929
TSP3,57,vein_endothelial_cell,0,69546,0.0,0.0
TSP5,40,B_cell,1,547823,1.8254071114210247e-06,0.0018254071114210248
TSP5,40,CD4-positive_alpha-beta_T_cell,0,200598,0.0,0.0
TSP5,40,CD4-positive_alpha-beta_memory_T_cell,0,42956,0.0,0.0
TSP5,40,CD8-positive_alpha-beta_T_cell,0,41905,0.0,0.0
TSP5,40,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,0,29536,0.0,0.0
TSP5,40,CD8-positive_alpha-beta_memory_T_cell,0,51522,0.0,0.0
TSP5,40,Mueller_cell,5,1749804,2.8574628929868715e-06,0.0028574628929868714
TSP5,40,T_cell,2,1528533,1.3084441094827525e-06,0.0013084441094827525
TSP5,40,basal_cell,0,102197,0.0,0.0
TSP5,40,basophil,0,25780,0.0,0.0
TSP5,40,bladder_urothelial_cell,0,81147,0.0,0.0
