gene,slope_z,r,p,n_cells_expr,gene_symbol,biotype
ENSG00000168843,-0.0244541023220005,-0.0352017763174456,0.033692157250343,3640,FSTL5,protein-coding
ENSG00000176222,-0.0077982945890217,-0.0119313739600469,0.471815641743177,3639,ZNF404,protein-coding
ENSG00000110881,-0.0015492350099759,-0.003140511558449,0.849812279129724,3638,ASIC1,protein-coding
ENSG00000219607,0.005664733134865,0.0065256418398024,0.6940934208209976,3635,PPP1R3G,protein-coding
ENSG00000171724,-0.0058860395637085,-0.0103147465084759,0.5342029137676095,3634,VAT1L,protein-coding
ENSG00000204610,-0.0015171380294818,-0.0230867078245664,0.1640935640239596,3634,TRIM15,protein-coding
ENSG00000163273,-0.0098688770203667,-0.0120698645689799,0.4673615521556085,3628,NPPC,protein-coding
ENSG00000254521,-0.0039865766166881,-0.0055800109433855,0.7369855707883142,3625,SIGLEC12,protein-coding
ENSG00000132518,0.0004799527372928,0.0007452955633272,0.9642408256644418,3621,GUCY2D,protein-coding
ENSG00000251503,-0.0064873344949325,-0.0110006289219999,0.5082477292413536,3619,CENPS-CORT,protein-coding
ENSG00000181625,0.0142748928220243,0.0667969139075573,5.879716691926295e-05,3612,SLX1B,protein-coding
ENSG00000196932,0.0100187059726791,0.0185885765259618,0.2643097083150908,3608,TMEM26,protein-coding
ENSG00000178093,-0.0058324590209085,-0.0083381747948679,0.6166932593073635,3606,TSSK6,protein-coding
ENSG00000170289,-0.0120503702739026,-0.0180423445167052,0.2788063634415855,3605,CNGB3,protein-coding
ENSG00000002745,-0.0149642457134723,-0.0178279422687717,0.2848939517567131,3600,WNT16,protein-coding
ENSG00000182931,-0.0210695962736112,-0.0370665231036259,0.0261703761514971,3599,WFDC10B,protein-coding
ENSG00000169035,-0.0305633966688793,-0.0553618594648334,0.0008931616765057,3598,KLK7,protein-coding
ENSG00000214694,-0.0174005093037429,-0.0278766275922436,0.0946403677973475,3596,ARHGEF33,protein-coding
ENSG00000137875,-0.0056319547277143,-0.0094072041062869,0.5727984108407271,3596,BCL2L10,protein-coding
ENSG00000277893,-0.0068886169744261,-0.0093904132095603,0.5735903841076302,3594,SRD5A2,protein-coding
ENSG00000188368,0.0075117146445935,0.0107877334546164,0.5182936210317959,3588,PRR19,protein-coding
ENSG00000188487,-0.0185300746212542,-0.0424298439018882,0.0110506158429086,3586,INSC,protein-coding
ENSG00000138400,0.0143674257706196,0.0218781685903514,0.1903753239361521,3584,MDH1B,protein-coding
ENSG00000128482,0.0103676632413003,0.0098683739125553,0.5550139463926377,3580,RNF112,protein-coding
ENSG00000053438,-0.0256278232949897,-0.0352269907693308,0.0350605684682255,3580,NNAT,protein-coding
ENSG00000198785,-0.0257144550852538,-0.0372057974910646,0.0261097576521472,3575,GRIN3A,protein-coding
ENSG00000187726,-0.0093011166406343,-0.0134572100868175,0.4212430306454851,3574,DNAJB13,protein-coding
ENSG00000075073,-0.0111747928232056,-0.0195551401887345,0.2430259175445269,3566,TACR2,protein-coding
ENSG00000103154,-0.0443877933569344,-0.0719759550531863,1.7190675569781943e-05,3560,NECAB2,protein-coding
ENSG00000278558,-0.043487967433854,-0.067905950273349,5.039735435837541e-05,3558,TMEM191B,protein-coding
ENSG00000102145,-0.0875914289353743,-0.0330932710581123,0.0485595967146126,3553,GATA1,protein-coding
ENSG00000116785,0.0116805351311449,0.0138539660266742,0.4094594810752775,3547,CFHR3,protein-coding
ENSG00000269226,0.0043484026964847,0.0073534285732175,0.6615331091728449,3547,TMSB15C,protein-coding
ENSG00000205279,-0.000658804196646,-0.0287330917613442,0.0873045541505333,3542,CTXN3,protein-coding
ENSG00000149516,-0.0442129641744282,-0.0887874423598542,1.214811909744585e-07,3540,MS4A3,protein-coding
ENSG00000213901,-0.0321339251358887,-0.0507505097219744,0.0025348694764351,3537,SLC23A3,protein-coding
