gene,slope_z,r,p,n_cells_expr
ENSG00000159374,-0.005968457551563726,-0.00909199188492093,0.5410841247705581,4521
ENSG00000159377,-0.024334345583797903,-0.03403872343541719,1.1522838686255721e-54,209132
ENSG00000159387,0.010699070698040504,0.014518099854198892,0.45699770302065046,2627
ENSG00000159388,-0.015013593297224659,-0.021200138503467046,9.983315997601648e-32,305588
ENSG00000159398,0.002976077991582325,0.003493002905224307,0.9161963726026798,910
ENSG00000159399,-0.013925115305611501,-0.018437361014947258,6.58457026407275e-07,72748
ENSG00000159403,0.027156393622623093,0.03071235215971715,5.804613442401967e-18,79039
ENSG00000159409,0.00406110483677138,0.004995450589752594,0.9155592960114151,453
ENSG00000159423,-0.02888120155680602,-0.04895543233743061,3.1420006742056424e-19,33487
ENSG00000159433,-0.011875061385546832,-0.015696464466609772,6.340104641217365e-05,64928
ENSG00000159445,-0.019100652329830565,-0.031014962566715085,5.21124571260854e-22,96644
ENSG00000159450,-0.013387273064030782,-0.025407199366938766,0.030072509957622374,7289
ENSG00000159455,-2.679554368610404e-33,-1.9308225302404258e-16,0.9999999999999993,23
ENSG00000159459,-0.013404476603981294,-0.017552313349867614,9.967236791000256e-17,223855
ENSG00000159461,-0.005406277802387411,-0.006754267261847604,0.014431253780808555,131183
ENSG00000159479,-0.02039022619663563,-0.031617384360451486,2.4420490875808376e-20,85385
ENSG00000159495,0.03886071912148052,0.038659441898815795,0.22145421993837466,1002
ENSG00000159496,-0.033180651091547476,-0.04883854571779996,2.5030046131707497e-15,26226
ENSG00000159516,0.034354950194999546,0.03705104155544331,0.06446920193304527,2491
ENSG00000159527,-0.009760835738186794,-0.013064049420748862,0.3766899584361425,4581
ENSG00000159556,-0.015525906471981583,-0.020067738263492497,0.26018017859707027,3150
ENSG00000159579,-0.018138134450874196,-0.024731224313740478,3.4416220003693586e-18,123598
ENSG00000159588,-0.02253606652123734,-0.031097701500623375,0.02422980687296058,5251
ENSG00000159592,-0.012733987103803069,-0.017114595079175746,3.2113735909852605e-16,227579
ENSG00000159593,-0.019285586829250665,-0.029622291999157828,1.0920910737207835e-23,114667
ENSG00000159596,-0.015441725319231488,-0.02290504717364061,3.0868466492878006e-07,49918
ENSG00000159618,-0.00412037294771698,-0.006984166980345223,0.30455199928793036,21613
ENSG00000159625,0.007690103318452634,0.011007064867803064,0.5669538552604652,2708
ENSG00000159640,-0.011493967537719687,-0.019323818140906217,0.0036568566236311086,22619
ENSG00000159648,-0.011017752215771165,-0.017133548932212184,0.1647595281399474,6576
ENSG00000159650,0.021623523588556324,0.024820265566109806,0.2261204368031148,2380
ENSG00000159658,-0.0164477378395962,-0.02144729722571834,3.0788693409934667e-20,184613
ENSG00000159674,-0.01421503381150167,-0.019211389678777002,1.2548030297079277e-08,87773
ENSG00000159685,-0.015786440750205608,-0.024682601500594918,9.674754659020791e-11,68734
ENSG00000159692,-0.01972474747537888,-0.02917001211301798,8.536305284853204e-31,156377
