gene,slope_z,r,p,n_cells_expr,gene_symbol
ENSG00000226946,0.0,0.0,1.0,47,MTNAP1P1
ENSG00000274970,0.0,0.0,1.0,47,LOC100419641
ENSG00000271468,-0.0024398519846559,-0.0073298589631508,0.9610002171124712,47,LOC100422334
ENSG00000250804,0.0051627254492104,0.0246218604252801,0.8695119641095823,47,OR7E111FP
ENSG00000228930,0.0,0.0,1.0,47,MTCO1P3
ENSG00000211626,0.0352215506134046,0.0711639995532465,0.6345432944946723,47,IGKV6D-41
ENSG00000213126,-0.0018920332413599,-0.008663998658421,0.9539087426244052,47,TXNL4AP1
ENSG00000203560,0.0,0.0,1.0,47,OR52J1P
ENSG00000271488,-0.0080157205531971,-0.0216030673319079,0.8853963699235161,47,RBM11P1
ENSG00000261319,0.0,0.0,1.0,47,LINC02152
ENSG00000248987,0.0,0.0,1.0,47,PRDX4P1
ENSG00000238685,0.0,0.0,1.0,47,LOC124900383
ENSG00000267478,0.0,0.0,1.0,47,LOC100533852
ENSG00000200637,0.0,0.0,1.0,47,RNU5F-3P
ENSG00000235241,-0.0595723291001891,-0.1908775861100522,0.198719645838714,47,LOC107985101
ENSG00000264879,0.0,0.0,1.0,47,RN7SL690P
ENSG00000271245,-0.0545396935652243,-0.1248280628433287,0.4031486862433442,47,PAGE4P1
ENSG00000182450,0.0402146721656508,0.0913286971079479,0.5415066508155468,47,KCNK4
ENSG00000240631,0.0575483517943987,0.060424408119186,0.6866075380758219,47,RPL30P12
ENSG00000284641,0.0,0.0,1.0,47,LOC124903871
ENSG00000255481,0.0,0.0,1.0,47,OR56A7P
ENSG00000225980,0.0,0.0,1.0,47,OR7E19P
ENSG00000224466,-0.0059384029711862,-0.0160643176692333,0.914651993644823,47,CDCA4P2
ENSG00000278143,0.0,0.0,1.0,47,NF1P7
ENSG00000265097,0.0,0.0,1.0,47,RBM22P1
ENSG00000236007,0.0,0.0,1.0,47,MTCO1P46
ENSG00000225990,0.0,0.0,1.0,47,SNRPEP7
ENSG00000207081,0.008491435279086,0.0113484542558915,0.9396510428109168,47,RNU6-616P
ENSG00000179381,0.0,0.0,1.0,47,OR4K11P
ENSG00000136487,0.0,0.0,1.0,47,GH2
ENSG00000261203,0.008055782114504,0.0160861796777847,0.9145362730589404,47,PLA2G10JP
ENSG00000235849,0.0024985549819423,0.0076457183310827,0.9593210113203866,47,HS6ST2-AS1
ENSG00000207322,0.0,0.0,1.0,47,RNU1-89P
ENSG00000235656,-0.0189294920323505,-0.1440960474104957,0.3338805081210082,47,RPL36P18
ENSG00000252452,-0.0096002036347084,-0.0387090106329486,0.796154976739512,47,RNU6-107P
ENSG00000202070,-0.0312630780692433,-0.1440180755442368,0.3341449075032431,47,RNU6-1175P
ENSG00000207072,0.1879934044835676,0.1487202479017372,0.3184335318228485,47,RNU6-39P
ENSG00000231278,0.0,0.0,1.0,47,OR9S24P
ENSG00000240255,0.0,0.0,1.0,47,PSMC1P6
ENSG00000255116,0.0,0.0,1.0,47,SLC5A4P1
ENSG00000229635,0.0,0.0,1.0,47,LOC100421273
ENSG00000289078,0.0,0.0,1.0,47,LOC105373997
ENSG00000178279,0.0,0.0,1.0,47,TNP2
ENSG00000253740,0.0,0.0,1.0,47,LOC105375671
ENSG00000242807,0.0235803618196103,0.0777601059700397,0.603391765986478,47,RPL26P31
ENSG00000266383,0.0,0.0,1.0,47,MIR5002
ENSG00000203970,0.0,0.0,1.0,47,DEFB110
ENSG00000265056,0.0,0.0,1.0,47,MIR548S
ENSG00000172459,0.0,0.0,1.0,47,OR5AR1
ENSG00000204993,0.0,0.0,1.0,47,CRTC1P1
ENSG00000253857,0.0,0.0,1.0,47,LOC105375844
ENSG00000270729,0.0,0.0,1.0,47,CAPZA1P5
ENSG00000233872,0.0,0.0,1.0,46,TOR1BP1
ENSG00000236610,0.0,0.0,1.0,46,SOCS5P1
ENSG00000235455,0.0,0.0,1.0,46,IQCF5-AS1
ENSG00000237257,0.0,0.0,1.0,46,MTND2P8
ENSG00000178602,0.0,0.0,1.0,46,OTOS
ENSG00000237408,0.0,0.0,1.0,46,ART2BP
ENSG00000207975,0.0,0.0,1.0,46,MIR181B1
ENSG00000260984,0.0,0.0,1.0,46,FGFR3P5
ENSG00000214190,0.0062808049103079,0.0083686467538633,0.9559808760668772,46,RNF152P1
ENSG00000237129,0.0,0.0,1.0,46,MTCYBP34
ENSG00000179055,0.0,0.0,1.0,46,OR13D1
ENSG00000213110,0.0,0.0,1.0,46,RNF11P1
ENSG00000233888,0.0093403151532807,0.0132441579770769,0.9303869975210242,46,MTCO2P17
ENSG00000259636,0.0,0.0,1.0,46,LOC105370954
ENSG00000283296,0.0,0.0,1.0,46,MIR4256
ENSG00000275094,0.0024843858272632,0.0049441324815231,0.9739855396552736,46,LOC100420569
ENSG00000214604,0.0,0.0,1.0,46,NPM1P36
ENSG00000216307,-0.0016193284878282,-0.0029316935187998,0.9845726451708812,46,NAA40P1
ENSG00000233197,0.0,0.0,1.0,46,TMEM256P1
ENSG00000275906,-0.0363602802919635,-0.040354020249692,0.7900308967629676,46,NAPGP2
ENSG00000262959,-0.012814057120089,-0.114368901183898,0.4491524618423741,46,RPL23AP86
ENSG00000185940,0.051612774420041,0.0958487372020242,0.5263100750513954,46,KRTAP5-5
ENSG00000211643,0.0,0.0,1.0,46,IGLV5-52
ENSG00000179443,0.0,0.0,1.0,46,OR13C6P
ENSG00000207612,0.0,0.0,1.0,46,MIR604
ENSG00000277483,-0.0041407424240838,-0.0069177004350267,0.963607212830872,46,RN7SL321P
ENSG00000205409,0.0,0.0,1.0,46,OR52E6
ENSG00000270601,0.1151080249479128,0.2552388593227051,0.0869045844928424,46,PRAMEF5
ENSG00000231913,0.0117818230757085,0.0353309864385365,0.815680288072919,46,RARRES2P3
ENSG00000202175,0.0156378837821059,0.0348016299118838,0.8183950115625749,46,RNA5SP128
ENSG00000258112,0.0,0.0,1.0,46,CCNG2P1
ENSG00000211907,0.0,0.0,1.0,46,IGHD1-26
ENSG00000264530,0.458843891445108,0.3766033802759602,0.0098884785023161,46,RN7SL25P
ENSG00000268652,0.0,0.0,1.0,46,LOC100133225
ENSG00000232168,0.0,0.0,1.0,46,P2RY10BP
ENSG00000282137,0.0,0.0,1.0,46,OR4G3P
ENSG00000204780,0.0,0.0,1.0,46,IGKV1OR9-1
ENSG00000265544,0.0,0.0,1.0,46,AA06
ENSG00000234075,-0.0072860276208863,-0.0505885363391709,0.7384704784396521,46,RPL35AP
ENSG00000258368,0.0,0.0,1.0,46,ZNF970P
ENSG00000186788,0.0,0.0,1.0,46,SPATA31D3
ENSG00000260595,0.0,0.0,1.0,46,OR4C49P
ENSG00000213652,0.0,0.0,1.0,46,HMGB3P30
ENSG00000237951,0.0415208294315916,0.0672541483309337,0.6569775056948175,46,PPIL1P1
ENSG00000236701,0.0,0.0,1.0,46,LOC100422376
ENSG00000201264,-0.0196916331540606,-0.1172392363904215,0.4377763393134728,46,SNORD73B
ENSG00000204880,0.0,0.0,1.0,46,KRTAP4-8
ENSG00000259836,0.0,0.0,1.0,46,AGGF1P6
ENSG00000186113,0.0,0.0,1.0,46,OR5D14
ENSG00000257780,0.0,0.0,1.0,46,GLYCAM1
ENSG00000214684,0.0,0.0,1.0,46,ANKRD49P4
ENSG00000230261,0.0,0.0,1.0,46,OR52J2P
ENSG00000264706,-0.0189872326966383,-0.1094128881229117,0.469170457033271,46,RN7SL217P
ENSG00000230706,0.0,0.0,1.0,46,TMEM184CP1
ENSG00000274749,0.0,0.0,1.0,46,KRTAP7-1
ENSG00000237119,0.0,0.0,1.0,46,LINC01056
ENSG00000237833,0.0,0.0,1.0,46,ETS2P1
ENSG00000231417,0.0,0.0,1.0,46,IRX1P1
ENSG00000230997,0.0257446635939924,0.1158557446092556,0.4432394944043067,46,RAB42P1
ENSG00000258817,0.0,0.0,1.0,46,OR4C13
ENSG00000269040,-0.0060077254900956,-0.0213630357564013,0.8879334096558587,46,BNIP3P24
ENSG00000213721,0.0,0.0,1.0,46,HMGN2P30
ENSG00000208012,0.0,0.0,1.0,46,MIRLET7F2
ENSG00000215369,0.0,0.0,1.0,46,RPL37P3
ENSG00000215356,0.0,0.0,1.0,46,ZNF705B
