NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE		23	0.18776038	1.0941247	0.33141762	0.59240925	1.0	13342	tags=91%, list=73%, signal=332%	
GOBP_POSTSYNAPTIC_CYTOSKELETON_ORGANIZATION	GOBP_POSTSYNAPTIC_CYTOSKELETON_ORGANIZATION		23	0.18843263	1.0929583	0.3419483	0.59394836	1.0	8532	tags=65%, list=46%, signal=122%	
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY		211	0.06464087	1.0928189	0.33744857	0.59359115	1.0	11898	tags=71%, list=65%, signal=199%	
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE		19	0.20576793	1.0923979	0.31906614	0.5937973	1.0	7834	tags=63%, list=43%, signal=110%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS		22	0.19615313	1.091453	0.3257732	0.5949632	1.0	12279	tags=86%, list=67%, signal=260%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS		20	0.20479289	1.0904409	0.32317072	0.5963382	1.0	10030	tags=75%, list=55%, signal=165%	
GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY		69	0.11397797	1.0898963	0.33771107	0.5967687	1.0	7506	tags=52%, list=41%, signal=88%	
GOBP_L_GLUTAMATE_IMPORT	GOBP_L_GLUTAMATE_IMPORT		44	0.13670926	1.0897979	0.34325397	0.59635264	1.0	12120	tags=80%, list=66%, signal=233%	
GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY		44	0.13792695	1.089204	0.33398438	0.59693646	1.0	5828	tags=45%, list=32%, signal=66%	
GOBP_REGULATION_OF_MUSCLE_ADAPTATION	GOBP_REGULATION_OF_MUSCLE_ADAPTATION		81	0.10123255	1.089168	0.32681018	0.5963971	1.0	9952	tags=64%, list=54%, signal=139%	
